Topic,Stance,Argument
Euthanasia,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that euthanasia is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Euthanasia can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Mandatory vaccination in pandemic,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that mandatory vaccination in pandemic undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that mandatory vaccination in pandemic undermines the value of human life."",
  ""conclusion"": ""Mandatory vaccination in pandemic undermines the value of human life.""
}"
Physical appearance for personal success,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that physical appearance for personal success undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that physical appearance for personal success undermines the value of human life."",
  ""conclusion"": ""Physical appearance for personal success undermines the value of human life.""
}"
Intermittent fasting,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that intermittent fasting should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Intermittent fasting should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Capital punishment,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that capital punishment undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that capital punishment undermines the value of human life."",
  ""conclusion"": ""Capital punishment undermines the value of human life.""
}"
Animal testing,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal testing should not be accepted.""
}"
Climate change,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that climate change undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that climate change undermines the value of human life."",
  ""conclusion"": ""Climate change undermines the value of human life.""
}"
Legalisation of cannabis,in favor,"{
  ""character attack premise"": ""Persons who advocate for legalisation of cannabis are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for legalisation of cannabis should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Abortion,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that abortion is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Abortion is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Freedom of speech,in favor,"{
  ""character attack premise"": ""Persons who advocate for freedom of speech are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for freedom of speech should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Tax increase,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Animal/human cloning,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal/human cloning should not be accepted.""
}"
Research in artificial intelligence,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that research in artificial intelligence is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Nuclear energy,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that nuclear energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Nuclear energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gun control,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for gun control should not be accepted.""
}"
Universal basic pension,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that universal basic pension is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Universal basic pension can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Gender quotas,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gender quotas is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gender quotas is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Genetic manipulation,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that genetic manipulation should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Genetic manipulation should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Reduction in working time,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Remote work,in favor,"{
  ""character attack premise"": ""Persons who advocate for remote work are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for remote work should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
